iter	Passed	Remaining
599	28901	19267
600	28949	19219
601	28993	19168
602	29028	19111
603	29064	19055
604	29105	19002
605	29143	18947
606	29177	18890
607	29217	18837
608	29254	18782
609	29292	18728
610	29338	18678
611	29376	18624
612	29414	18570
613	29450	18514
614	29488	18460
615	29523	18404
616	29558	18348
617	29595	18293
618	29632	18239
619	29670	18185
620	29707	18130
621	29748	18078
622	29802	18034
623	29843	17982
624	29884	17930
625	29926	17879
626	29964	17825
627	30004	17773
628	30043	17720
629	30082	17667
630	30116	17611
631	30164	17564
632	30204	17512
633	30243	17458
634	30279	17404
635	30316	17351
636	30354	17297
637	30391	17244
638	30431	17192
639	30472	17140
640	30506	17085
641	30549	17035
642	30606	16993
643	30641	16938
644	30685	16888
645	30722	16835
646	30765	16785
647	30804	16733
648	30844	16681
649	30883	16629
650	30922	16577
651	30956	16522
652	31011	16479
653	31048	16426
654	31084	16372
655	31121	16319
656	31161	16268
657	31203	16218
658	31243	16167
659	31293	16120
660	31344	16075
661	31408	16036
662	31461	15991
663	31510	15944
664	31560	15898
665	31605	15850
666	31652	15802
667	31698	15754
668	31742	15705
669	31780	15653
670	31833	15608
671	31877	15559
672	31920	15509
673	31963	15459
674	32000	15407
675	32042	15357
676	32082	15306
677	32125	15257
678	32171	15209
679	32226	15165
680	32267	15114
681	32310	15065
682	32351	15015
683	32393	14965
684	32437	14916
685	32475	14864
686	32513	14813
687	32554	14763
688	32606	14718
689	32651	14669
690	32694	14620
691	32728	14566
692	32771	14517
693	32807	14465
694	32843	14413
695	32877	14360
696	32921	14311
697	32959	14260
698	33008	14213
699	33053	14165
700	33088	14113
701	33128	14063
702	33168	14013
703	33210	13963
704	33267	13920
705	33342	13885
706	33377	13832
707	33435	13789
708	33475	13739
709	33510	13687
710	33547	13636
711	33588	13586
712	33626	13535
713	33668	13486
714	33709	13436
715	33750	13387
716	33799	13340
717	33850	13294
718	33891	13245
719	33935	13197
720	33980	13149
721	34018	13098
722	34061	13049
723	34104	13001
724	34146	12952
725	34190	12903
726	34239	12857
727	34286	12810
728	34321	12758
729	34360	12708
730	34402	12659
731	34444	12610
732	34482	12560
733	34520	12510
734	34562	12461
735	34599	12410
736	34649	12364
737	34688	12314
738	34727	12265
739	34765	12215
740	34803	12164
741	34839	12114
742	34879	12064
743	34919	12015
744	34963	11967
745	35118	11957
746	35201	11922
747	35248	11875
748	35295	11828
749	35343	11781
750	35386	11732
751	35436	11686
752	35494	11643
753	35659	11634
754	35724	11592
755	35796	11553
756	35858	11510
757	35901	11462
758	35962	11418
759	36039	11380
760	36078	11330
761	36119	11281
762	36162	11232
763	36210	11185
764	36276	11143
765	36397	11118
766	36491	11085
767	36553	11042
